ID,Airline,Date,FlightNum
171,Scandinavian Airlines,2007-09-09,1209
172,Scandinavian Airlines,2007-09-12,2748
173,Scandinavian Airlines,2007-10-27,2867
177,One-Two-GO Airlines,2007-09-16,269
178,Atlasjet,2007-11-30,4203
179,TAROM,2007-12-30,3107
180,British Airways,2008-01-17,38
181,Eagle Airways,2008-02-08,2279
182,Belavia,2008-02-14,1834
183,Santa Bárbara Airlines,2008-02-21,518
184,Hewa Bora Airways,2008-04-15,122
185,TACA,2008-05-30,390
186,Sudan Airways,2008-06-10,109
187,Centurion Air Cargo,2008-07-07,164
188,Qantas,2008-07-25,30
189,Spanair,2008-08-20,5022
190,Iran Aseman Airlines,2008-08-24,6895
191,Sriwijaya Air,2008-08-27,62
192,Aeroflot,2008-09-14,821
193,Qantas,2008-10-07,72
194,Yeti Airlines,2008-10-08,103
195,Ryanair,2008-11-10,4102
196,XL Airways Germany,2008-11-27,888
197,Continental Airlines,2008-12-20,1404
198,US Airways,2009-01-15,1549
199,Colgan Air,2009-02-12,3407
200,Turkish Airlines,2009-02-25,1951
201,Cougar Helicopters,2009-03-12,91
202,Emirates,2009-03-20,407
203,FedEx Express,2009-03-23,80
204,Bond Offshore Helicopters,2009-04-01,85
205,CanJet,2009-04-19,918
206,Air France,2009-06-01,447
207,Yemenia,2009-06-30,626
208,Southwest Airlines,2009-07-13,2294
209,Caspian Airlines,2009-07-15,7908
210,Aria Air,2009-07-24,1525
211,Merpati Nusantara Airlines,2009-08-02,9760
212,Bangkok Airways,2009-08-04,266
213,Airlines PNG,2009-08-11,4684
214,Aeroméxico,2009-09-09,576
215,Airlink,2009-09-24,8911
216,Azza Transport,2009-10-21,2241
217,Divi Divi Air,2009-10-22,14
218,RwandAir,2009-11-12,205
219,Avient Aviation,2009-11-28,324
220,American Airlines,2009-12-22,331
221,Northwest Airlines,2009-12-25,253
222,Taban Air,2010-01-24,6437
223,Ethiopian Airlines,2010-01-25,409
224,Aviastar-TU,2010-03-22,1906
225,AeroUnion,2010-04-13,302
226,Merpati Nusantara Airlines,2010-04-13,836
227,Cathay Pacific,2010-04-13,780
228,Afriqiyah Airways,2010-05-12,771
229,Pamir Airways,2010-05-17,112
230,Air India Express,2010-05-22,812
231,Lufthansa Cargo,2010-07-27,8460
232,Airblue,2010-07-28,202
233,Katekavia,2010-08-03,9357
234,AIRES,2010-08-16,8250
235,Agni Air,2010-08-24,101
236,Henan Airlines,2010-08-24,8387
237,UPS Airlines,2010-09-03,6
238,Alrosa Mirny Air Enterprise,2010-09-07,514
239,Conviasa,2010-09-13,2350
240,Aero Caribbean,2010-11-04,883
241,Qantas,2010-11-04,32
242,Sun Way,2010-11-28,4412
243,Dagestan Airlines,2010-12-04,372
244,Kolavia,2011-01-01,348
245,Iran Air,2011-01-09,277
246,Manx2,2011-02-10,7100
247,Central American Airways,2011-02-14,731
248,Southwest Airlines,2011-04-01,812
249,Merpati Nusantara Airlines,2011-05-07,8968
250,Sol Líneas Aéreas,2011-05-18,5428
251,RusAir,2011-06-20,9605
252,Hewa Bora Airways,2011-07-08,952
253,Angara Airlines,2011-07-11,5007
254,Noar Linhas Aéreas,2011-07-13,4896
255,Asiana Airlines,2011-07-28,991
256,EgyptAir,2011-07-29,667
257,Caribbean Airlines,2011-07-30,523
258,First Air,2011-08-20,6560
259,Aerocon,2011-09-06,238
260,Yak-Service,2011-09-07,9634
261,Buddha Air,2011-09-25,103
262,Nusantara Buana Air,2011-09-29,823
